Importation successful, starting dezipping
Dezipping successful, starting initialization
Initialization successful, starting training
Epoch 46/100 | Train Loss: 0.7084 | Val Loss: 4.2653 | ADE: 1.9195 | FDE: 4.9792 | Best ADE: 1.9125
Epoch 47/100 | Train Loss: 0.6729 | Val Loss: 4.2530 | ADE: 1.9063 | FDE: 4.9600 | Best ADE: 1.9063
Epoch 48/100 | Train Loss: 0.6987 | Val Loss: 4.2366 | ADE: 1.8997 | FDE: 4.9715 | Best ADE: 1.8997
Epoch 49/100 | Train Loss: 0.6638 | Val Loss: 4.2428 | ADE: 1.9155 | FDE: 4.9887 | Best ADE: 1.8997
Epoch 50/100 | Train Loss: 0.6439 | Val Loss: 4.3085 | ADE: 1.9284 | FDE: 4.9798 | Best ADE: 1.8997
Epoch 51/100 | Train Loss: 0.6424 | Val Loss: 4.2813 | ADE: 1.9098 | FDE: 4.9887 | Best ADE: 1.8997
Epoch 52/100 | Train Loss: 0.6361 | Val Loss: 4.3748 | ADE: 1.9623 | FDE: 5.0576 | Best ADE: 1.8997
Epoch 53/100 | Train Loss: 0.6196 | Val Loss: 4.3303 | ADE: 1.9234 | FDE: 4.9964 | Best ADE: 1.8997
Epoch 54/100 | Train Loss: 0.6074 | Val Loss: 4.3062 | ADE: 1.9110 | FDE: 4.9726 | Best ADE: 1.8997
Epoch 55/100 | Train Loss: 0.5972 | Val Loss: 4.3565 | ADE: 1.9401 | FDE: 5.0052 | Best ADE: 1.8997
Epoch 56/100 | Train Loss: 0.5826 | Val Loss: 4.3282 | ADE: 1.9314 | FDE: 4.9982 | Best ADE: 1.8997
Epoch 57/100 | Train Loss: 0.5708 | Val Loss: 4.2787 | ADE: 1.9051 | FDE: 4.9504 | Best ADE: 1.8997
Epoch 58/100 | Train Loss: 0.5739 | Val Loss: 4.2818 | ADE: 1.9119 | FDE: 4.9810 | Best ADE: 1.8997
Epoch 59/100 | Train Loss: 0.5498 | Val Loss: 4.2595 | ADE: 1.9063 | FDE: 4.9453 | Best ADE: 1.8997
Epoch 60/100 | Train Loss: 0.5524 | Val Loss: 4.2515 | ADE: 1.8943 | FDE: 4.9448 | Best ADE: 1.8943
Epoch 61/100 | Train Loss: 0.5504 | Val Loss: 4.3193 | ADE: 1.9164 | FDE: 4.9854 | Best ADE: 1.8943
Epoch 62/100 | Train Loss: 0.5439 | Val Loss: 4.3355 | ADE: 1.9331 | FDE: 5.0082 | Best ADE: 1.8943
Epoch 63/100 | Train Loss: 0.5299 | Val Loss: 4.3299 | ADE: 1.9192 | FDE: 4.9966 | Best ADE: 1.8943
Epoch 64/100 | Train Loss: 0.5245 | Val Loss: 4.3176 | ADE: 1.9385 | FDE: 5.0216 | Best ADE: 1.8943
Epoch 65/100 | Train Loss: 0.5098 | Val Loss: 4.2993 | ADE: 1.9178 | FDE: 4.9942 | Best ADE: 1.8943
Epoch 66/100 | Train Loss: 0.5354 | Val Loss: 4.2788 | ADE: 1.9156 | FDE: 4.9997 | Best ADE: 1.8943
Epoch 67/100 | Train Loss: 0.5214 | Val Loss: 4.3034 | ADE: 1.9234 | FDE: 4.9937 | Best ADE: 1.8943
Epoch 68/100 | Train Loss: 0.5116 | Val Loss: 4.3476 | ADE: 1.9188 | FDE: 4.9857 | Best ADE: 1.8943
Epoch 69/100 | Train Loss: 0.5082 | Val Loss: 4.3414 | ADE: 1.9316 | FDE: 4.9946 | Best ADE: 1.8943
Epoch 70/100 | Train Loss: 0.5120 | Val Loss: 4.3481 | ADE: 1.9461 | FDE: 5.0489 | Best ADE: 1.8943
Epoch 71/100 | Train Loss: 0.5125 | Val Loss: 4.3291 | ADE: 1.9107 | FDE: 4.9875 | Best ADE: 1.8943
Epoch 72/100 | Train Loss: 0.5034 | Val Loss: 4.3500 | ADE: 1.9348 | FDE: 5.0295 | Best ADE: 1.8943
Epoch 73/100 | Train Loss: 0.4902 | Val Loss: 4.3041 | ADE: 1.9224 | FDE: 5.0109 | Best ADE: 1.8943
Epoch 74/100 | Train Loss: 0.4915 | Val Loss: 4.4292 | ADE: 1.9600 | FDE: 5.0679 | Best ADE: 1.8943
Epoch 75/100 | Train Loss: 0.4851 | Val Loss: 4.3721 | ADE: 1.9508 | FDE: 5.0125 | Best ADE: 1.8943
Epoch 76/100 | Train Loss: 0.4646 | Val Loss: 4.3774 | ADE: 1.9383 | FDE: 5.0164 | Best ADE: 1.8943
Epoch 77/100 | Train Loss: 0.4750 | Val Loss: 4.3208 | ADE: 1.9172 | FDE: 5.0085 | Best ADE: 1.8943
Epoch 78/100 | Train Loss: 0.4636 | Val Loss: 4.3441 | ADE: 1.9170 | FDE: 5.0038 | Best ADE: 1.8943
Epoch 79/100 | Train Loss: 0.4678 | Val Loss: 4.4249 | ADE: 1.9657 | FDE: 5.0497 | Best ADE: 1.8943
Epoch 80/100 | Train Loss: 0.4704 | Val Loss: 4.3975 | ADE: 1.9576 | FDE: 5.0366 | Best ADE: 1.8943
Epoch 81/100 | Train Loss: 0.4517 | Val Loss: 4.3835 | ADE: 1.9312 | FDE: 5.0203 | Best ADE: 1.8943
